UniqueID_v2,ni_total,nt_total,nt_ti_stenocold,nt_ti_cold,nt_ti_cool,nt_ti_warm,nt_ti_stenowarm,nt_ti_eury,nt_ti_cowa,nt_ti_na,nt_ti_stenocold_cold,nt_ti_stenocold_cold_cool,nt_ti_cowa_warm_stenowarm,nt_ti_warm_stenowarm,pi_ti_stenocold,pi_ti_cold,pi_ti_cool,pi_ti_warm,pi_ti_stenowarm,pi_ti_eury,pi_ti_cowa,pi_ti_na,pi_ti_stenocold_cold,pi_ti_stenocold_cold_cool,pi_ti_cowa_warm_stenowarm,pi_ti_warm_stenowarm,pt_ti_stenocold,pt_ti_cold,pt_ti_cool,pt_ti_warm,pt_ti_stenowarm,pt_ti_eury,pt_ti_cowa,pt_ti_na,pt_ti_stenocold_cold,pt_ti_stenocold_cold_cool,pt_ti_cowa_warm_stenowarm,pt_ti_warm_stenowarm
SampWA_5612_1,525,46,0,4,16,7,0,9,8,2,4,20,15,7,0,1.142857143,41.52380952,24,0,9.142857143,23.61904762,0.571428571,1.142857143,42.66666667,47.61904762,24,0,8.695652174,34.7826087,15.2173913,0,19.56521739,17.39130435,4.347826087,8.695652174,43.47826087,32.60869565,15.2173913
SampWA_5614_1,521,59,2,3,21,13,1,13,5,1,5,26,19,14,0.959692898,2.495201536,39.15547025,21.30518234,0.19193858,32.24568138,3.454894434,0.19193858,3.454894434,42.61036468,24.95201536,21.49712092,3.389830508,5.084745763,35.59322034,22.03389831,1.694915254,22.03389831,8.474576271,1.694915254,8.474576271,44.06779661,32.20338983,23.72881356
SampWA_5617_1,547,25,0,0,5,9,1,5,4,1,0,5,14,10,0,0,2.193784278,90.85923218,0.365630713,3.10786106,3.290676417,0.182815356,0,2.193784278,94.51553931,91.22486289,0,0,20,36,4,20,16,4,0,20,56,40
SampWA_5621_1,529,61,2,10,24,9,0,8,8,0,12,36,17,9,0.756143667,5.860113422,36.48393195,10.01890359,0,5.860113422,41.02079395,0,6.616257089,43.10018904,51.03969754,10.01890359,3.278688525,16.39344262,39.3442623,14.75409836,0,13.1147541,13.1147541,0,19.67213115,59.01639344,27.86885246,14.75409836
SampWA_5622_1,248,41,4,6,16,4,0,9,0,2,10,26,4,4,4.435483871,19.75806452,41.53225806,3.225806452,0,29.43548387,0,1.612903226,24.19354839,65.72580645,3.225806452,3.225806452,9.756097561,14.63414634,39.02439024,9.756097561,0,21.95121951,0,4.87804878,24.3902439,63.41463415,9.756097561,9.756097561
SampWA_5623_1,247,40,0,0,5,17,2,11,5,0,0,5,24,19,0,0,3.238866397,59.51417004,1.214574899,32.79352227,3.238866397,0,0,3.238866397,63.96761134,60.72874494,0,0,12.5,42.5,5,27.5,12.5,0,0,12.5,60,47.5
SampWA_5625_1,547,37,1,7,15,1,0,11,1,1,8,23,2,1,0.182815356,14.44241316,33.82084095,0.365630713,0,49.72577697,1.279707495,0.182815356,14.62522852,48.44606947,1.645338208,0.365630713,2.702702703,18.91891892,40.54054054,2.702702703,0,29.72972973,2.702702703,2.702702703,21.62162162,62.16216216,5.405405405,2.702702703
SampWA_5626_1,558,61,0,2,17,17,0,15,9,1,2,19,26,17,0,2.150537634,28.85304659,29.92831541,0,28.49462366,10.39426523,0.17921147,2.150537634,31.00358423,40.32258065,29.92831541,0,3.278688525,27.86885246,27.86885246,0,24.59016393,14.75409836,1.639344262,3.278688525,31.14754098,42.62295082,27.86885246
SampWA_5630_1,557,54,3,8,25,3,0,12,2,1,11,36,5,3,21.72351885,9.87432675,39.85637343,1.615798923,0,19.7486535,7.001795332,0.179533214,31.5978456,71.45421903,8.617594255,1.615798923,5.555555556,14.81481481,46.2962963,5.555555556,0,22.22222222,3.703703704,1.851851852,20.37037037,66.66666667,9.259259259,5.555555556
SampWA_5631_1,569,54,0,5,23,9,0,10,7,0,5,28,16,9,0,10.01757469,49.56063269,4.042179262,0,15.64147627,20.73813708,0,10.01757469,59.57820738,24.78031634,4.042179262,0,9.259259259,42.59259259,16.66666667,0,18.51851852,12.96296296,0,9.259259259,51.85185185,29.62962963,16.66666667
